Name,Toy,Fish,Type,Silver Equivalent,Gold Equivalent,Food condition,Date,Theme,Toy Size
Snowball / Shironeko-san,Ball of yarn,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Small
Smokey / Kuroneko-san,Scratching board,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Smokey / Kuroneko-san,Rubber ball (red),1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Small
Shadow / Haiiro-san,Rubber ball (red),7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
Sunny / Tobimike-san,Mister mouse,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Pumpkin / Shirochatora-san,Cat metropolis,2,Gold,100,2,Frisky bitz,10/7/2015,Modern style,Large
Bandit / Sabigara-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Pumpkin / Shirochatora-san,Baseball,11,Silver,11,0.22,Frisky bitz,10/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Callie / Mike-san,Ball of yarn,1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Small
Tabitha / Shimamike-san,Earthenware pot,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Speckles / Kurobuchi-san,Cat metropolis,3,Gold,150,3,Frisky bitz,10/7/2015,Modern style,Large
Gabriel / Hachiware-san,Zanzibar cushion,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Small
Gabriel / Hachiware-san,Silk crepe pillow,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Marshmallow / Point-san,Scratching board,10,Silver,10,0.2,Frisky bitz,10/7/2015,Modern style,Small
Marshmallow / Point-san,Silk crepe pillow,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Fred / Chatora-san,Cat metropolis,8,Silver,8,0.16,Frisky bitz,10/7/2015,Modern style,Large
Callie / Mike-san,Cat metropolis,1,Silver,1,0.02,Frisky bitz,10/7/2015,Modern style,Large
Lexy / Haishiro-san,Zanzibar cushion,14,Silver,14,0.28,Frisky bitz,10/7/2015,Modern style,Small
Lexy / Haishiro-san,Zanzibar cushion,18,Silver,18,0.36,Frisky bitz,10/7/2015,Modern style,Small
Breezy / Shirokiji-san,Earthenware pot,11,Silver,11,0.22,Frisky bitz,10/7/2015,Modern style,Small
Socks / Kutsushita-san,Cat metropolis,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Large
Patches / Buchi-san,Ball of yarn,6,Silver,6,0.12,Frisky bitz,10/7/2015,Modern style,Small
Gozer / Tobi-san,Zanzibar cushion,5,Silver,5,0.1,Frisky bitz,10/7/2015,Modern style,Small
Cocoa / Chahachi-san,Scratching board,4,Silver,4,0.08,Frisky bitz,10/7/2015,Modern style,Small
Mack / Shirotora-san,Baseball,3,Silver,3,0.06,Frisky bitz,10/7/2015,Modern style,Small
Pickles / Shirosaba-san,Cat metropolis,2,Silver,2,0.04,Frisky bitz,10/7/2015,Modern style,Large
Willie / Kurotora-san,Scratching board,7,Silver,7,0.14,Frisky bitz,10/7/2015,Modern style,Small
