,,,,,,,
,,,Gold,Silver,Grand Total,Percentage Gold,Percentage Silver
,,0,,,0,#DIV/0!,#DIV/0!
 Total,,0,,,0,#DIV/0!,#DIV/0!
Large,Art deco cat tree,,42,862,904,0.00%,4.87%
,Beach umbrella,,195,1883,2078,0.00%,10.36%
,Bureau with pot,,69,952,1021,0.00%,7.25%
,Cardboard café,,84,2234,2318,0.00%,3.76%
,Cardboard choo-choo,,40,884,924,0.00%,4.52%
,Cardboard house,,119,2508,2627,0.00%,4.74%
,Carp tunnel,,18,292,310,0.00%,6.16%
,Cat condo complex,,144,1855,1999,0.00%,7.76%
,Cat metropolis,,160,1649,1809,0.00%,9.70%
,Cow tunnel,,16,327,343,0.00%,4.89%
,Doughnut tunnel,,,416,416,0.00%,0.00%
,Fairy-tale parasol,,114,1057,1171,0.00%,10.79%
,Fish-stick tunnel,,8,214,222,0.00%,3.74%
,Heating stove,,81,769,850,0.00%,10.53%
,Hot mat (large),,76,828,904,0.00%,9.18%
,Kotatsu,,197,4426,4623,0.00%,4.45%
,Large cooling mat,,47,1066,1113,0.00%,4.41%
,Panel heater,,26,432,458,0.00%,6.02%
,Paper umbrella,,46,499,545,0.00%,9.22%
,Snow sled,,89,711,800,0.00%,12.52%
,Space heater,,51,721,772,0.00%,7.07%
,Sunken fireplace,,27,678,705,0.00%,3.98%
,Three-tier cat tree,,3,338,341,0.00%,0.89%
,Tower of treats,,45,666,711,0.00%,6.76%
,Tunnel (3D piece),,193,1307,1500,0.00%,14.77%
,Tunnel (I piece),,,206,206,0.00%,0.00%
,Tunnel (T piece),,28,411,439,0.00%,6.81%
,Tunnel (U piece),,4,343,347,0.00%,1.17%
,Twisty rail,,27,481,508,0.00%,5.61%
,Two-tier cat tree,,23,728,751,0.00%,3.16%
Large Total,,,1972,29743,31715,0.00%,6.63%
N/A,Frisky bitz,,61,4778,4839,0.00%,1.28%
,Ritzy bitz,,25,1317,1342,0.00%,1.90%
,Sashimi,,4,772,776,0.00%,0.52%
N/A Total,,,90,6867,6957,0.00%,1.31%
Small,Arabesque blanket,,14,413,427,0.00%,3.39%
,Ball of yarn,,47,750,797,0.00%,6.27%
,Baseball,,51,1580,1631,0.00%,3.23%
,Basket case,,17,374,391,0.00%,4.55%
,Bean bag,,28,440,468,0.00%,6.36%
