Toy,Size
Art deco cat tree,Large
Beach umbrella,Large
Bureau with pot,Large
Cardboard café,Large
Cardboard choo-choo,Large
Cardboard house,Large
Carp tunnel,Large
Cat condo complex,Large
Cat metropolis,Large
Cow tunnel,Large
Doughnut tunnel,Large
Fairy-tale parasol,Large
Fish-stick tunnel,Large
Heating stove,Large
Hot mat (large),Large
Kotatsu,Large
Large cooling mat,Large
Panel heater,Large
Paper umbrella,Large
Snow sled,Large
Space heater,Large
Sunken fireplace,Large
Three-tier cat tree,Large
Tower of treats,Large
Tunnel (3D piece),Large
Tunnel (I piece),Large
Tunnel (T piece),Large
Tunnel (U piece),Large
Twisty rail,Large
Two-tier cat tree,Large
Arabesque blanket,Small
Ball of yarn,Small
Baseball,Small
Basket case,Small
Bean bag,Small
Biscuit mat,Small
Black head space,Small
Bucket (blue),Small
Bucket (red),Small
Bucket (yellow),Small
Burger cushion,Small
Busy bee,Small
Butterfly swarm,Small
Cake box,Small
Cardboard truck,Small
Cat macaroon (green),Small
Cat macaroon (pink),Small
Cat pancake,Small
Chestnut cushion,Small
Choco cornet tunnel,Small
Clay pot,Small
Colourful sock,Small
Cool aluminum pad,Small
Cosy blanket (red),Small
Cosy blanket (yellow),Small
Cowboy hat,Small
Cream-puff house,Small
Cushion (beige),Small
Cushion (brown),Small
Cushion (green),Small
Cushion (pink),Small
Cushion (yellow),Small
Dice cube,Small
Earthenware pot,Small
Fluff-thing teaser,Small
Fluffy bed (brown),Small
Fluffy bed (pink),Small
Fluffy bed (white),Small
Fluffy cushion,Small
Fruit basket,Small
Giant cushion,Small
Gift box,Small
Glass vase,Small
Goldfish bowl,Small
Hammock (pink),Small
Hammock (woven),Small
Hammock (yellow),Small
Head space,Small
Honey pot,Small
Hot mat (small),Small
Hot-water bottle,Small
Kick toy (bunny),Small
Kick toy (fish),Small
Kick toy (mouse),Small
Kick toy (saury),Small
Lacquered bowl,Small
Lucky cushion,Small
Luxurious hammock,Small
Maple pillow,Small
Marble pad,Small
Mister dragonfly,Small
Mister mouse,Small
Navy-blue cube,Small
Orange cube,Small
Pancake cushion,Small
Paper bag,Small
Pickling pot,Small
Pile of leaves,Small
Pillow (green),Small
Pillow (purple),Small
Pillow (yellow),Small
Ping pong ball,Small
Planter,Small
Plastic bag,Small
Plum cushion (pink),Small
Plum cushion (red),Small
Pom-pom sock,Small
Rice kettle,Small
Royal bed,Small
Rubber ball (blue),Small
Rubber ball (red),Small
Rubber ball (yellow),Small
Sakura pillow,Small
Sakuramochi cushion,Small
Scratching board,Small
Scratching log,Small
Scratching post,Small
Sheep cushion,Small
Shipping box (small),Small
Shopping box (large),Small
Silk crepe pillow,Small
Snowy pillow,Small
Soccer ball,Small
Stress reliever,Small
Stump house,Small
Tail-thing teaser,Small
Temari ball,Small
Tent (blizzard),Small
Tent (modern red),Small
Tent (nature),Small
Tent (pyramid),Small
Thick cooling pad,Small
Tiramisu cube,Small
Toy capsule,Small
Warm sock,Small
Watermelon ball,Small
Wild-thing teaser,Small
Wing-thing teaser,Small
Wood pail,Small
Zanzibar cushion,Small
Zebra grass gadget,Small
